method,trial,noise_sigma_mm,status,calibration_pose_count,heldout_pose_count,heldout_translation_error_mm,heldout_rotation_error_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,pairwise_registration_translation_error_mm,pairwise_registration_rotation_error_deg,heldout_reprojection_rmse_px,cam0_camera_pose_translation_error_mm,cam0_camera_pose_rotation_error_deg,cam0_heldout_translation_error_mm,cam0_heldout_rotation_error_deg,cam0_heldout_reprojection_rmse_px,cam1_camera_pose_translation_error_mm,cam1_camera_pose_rotation_error_deg,cam1_heldout_translation_error_mm,cam1_heldout_rotation_error_deg,cam1_heldout_reprojection_rmse_px,cam3_camera_pose_translation_error_mm,cam3_camera_pose_rotation_error_deg,cam3_heldout_translation_error_mm,cam3_heldout_rotation_error_deg,cam3_heldout_reprojection_rmse_px,wrist_camera_pose_translation_error_mm,wrist_camera_pose_rotation_error_deg,wrist_heldout_translation_error_mm,wrist_heldout_rotation_error_deg,wrist_heldout_reprojection_rmse_px
tabb_c2_sim,0,0.0,ok,10,4,9.310017681540561e-07,4.6968283961434397e-08,9.685979016765968e-07,3.7971497917341763e-08,1.5657078319161157e-06,6.621763081202342e-08,7.602777960586683e-07,1.7419783746226574e-06,3.824860556069498e-08,1.378169208637326e-06,6.149265408656492e-08,8.416678586578747e-07,1.0601611240570092e-06,4.7084591536998116e-08,9.317937585443826e-07,6.50043000970741e-08,8.809269624816484e-07,1.071203366609402e-06,6.646647745897109e-08,1.4129251704930222e-06,6.12898579343822e-08,9.097532317939173e-07,1.0487414173190979e-09,8.631711270286737e-11,1.1189349414934145e-09,8.632372771635707e-11,1.1262481750022366e-09
tabb_c2_sim_euler,0,0.0,ok,10,4,1.4632590623289943e-06,1.0854909994196225e-07,1.6507799193121385e-06,1.112683282715444e-07,3.05654827126183e-06,1.836505562825223e-07,1.2704171999878805e-06,2.770952957857697e-07,8.921545397203386e-08,1.1045272841316442e-06,9.88373390802399e-08,8.088410180604794e-07,4.682587951557835e-06,2.714897241255e-07,3.6025462029835204e-06,2.566298519852933e-07,2.1174032572664254e-06,1.641246744333825e-06,8.417201141015087e-08,1.1436538971158048e-06,7.853307634979309e-08,1.1481349172486825e-06,2.189685571124751e-09,1.9612357849288756e-10,2.308865085008523e-09,1.9613235252269728e-10,2.3051062803243202e-09
tabb_c2_sim_quat,0,0.0,ok,10,4,7.242771164723875e-07,9.690617123999679e-08,9.819780599284498e-07,9.088587802058508e-08,1.6570863645923857e-06,1.572541987377399e-07,8.107661239716001e-07,1.1871034030674297e-06,2.155468988609046e-07,1.4526184954557276e-06,2.0930143795714202e-07,1.0231468108700127e-06,8.220367360881566e-07,7.540757740762074e-09,7.862102793414141e-07,4.706048907799592e-08,8.38048391615995e-07,1.917794678685421e-06,1.404198420502895e-07,6.572211539422371e-07,1.3122675380290737e-07,9.38195588028311e-07,9.774218727920323e-10,3.6013430384140127e-11,1.0585371501715085e-09,3.6004121941853927e-11,1.1689483760757123e-09
tabb_rp1,0,0.0,ok,10,4,6.373812905787162e-07,5.4045058942106e-08,8.950576256606601e-07,3.822353562285905e-08,1.2608451907880222e-06,6.15401576755879e-08,7.29702934709755e-07,1.044742784664371e-06,5.6487934467619787e-08,8.361272374518465e-07,5.876808803868659e-08,7.755137754762458e-07,1.1238359212551612e-06,4.592849757316373e-08,7.50415233758949e-07,7.489630968232786e-08,7.582781156998164e-07,1.362087127246958e-06,4.4219407087452765e-08,9.442367682548788e-07,7.625752951296079e-08,9.76290364938488e-07,4.956466947615027e-08,6.258303363199937e-09,1.8745922849190588e-08,6.258308534448761e-09,1.775664162236313e-08
tabb_rp2,0,0.0,ok,10,4,2.4479602952968094e-06,1.1733135158295132e-07,1.9902807616477433e-06,1.1427789641333029e-07,3.930189112190277e-06,1.8919265910508688e-07,1.477854849231141e-06,4.633666391718777e-06,1.70976780720823e-07,5.056587735289239e-06,1.717550753223903e-07,2.030530069133071e-06,1.8463336608427213e-06,4.9377384590757156e-08,2.0952552845570865e-06,5.073598806253691e-08,1.409562246395575e-06,1.3704672585812508e-06,2.2715435057773232e-07,2.4875775308945474e-06,2.372312765520238e-07,1.6083013175780353e-06,1.1065573544822493e-07,9.603069764008605e-09,1.524206304463631e-07,9.60306639485434e-09,1.9916979023801531e-07
tabb_c2_sim,0,1.0,ok,10,4,0.377765070937996,0.2606823902671822,1.3224652748694583,0.13948495177591555,1.3343474545699952,0.16645986750066483,2.4312868809060566,1.5832579183326103,0.11463704190141652,0.4829908662375283,0.2586874518647906,1.8130086303859665,0.5489098578398028,0.07988665053037454,0.32027099182339885,0.15485253284972916,2.1373743433613814,2.3371514926226773,0.18156411144010504,0.5427529297195127,0.3344202267502743,1.86106990368664,0.8205418306827424,0.1818520032317661,0.16504549597154408,0.2947693496039348,3.51079378846749
tabb_c2_sim_euler,0,1.0,ok,10,4,0.3777657107428497,0.26068219530339176,1.3224668738079421,0.1394847916016294,1.3343526019469618,0.16645987564434436,2.431286530630215,1.5832577249655317,0.11463684853904334,0.48299423936510977,0.25868724720794245,1.8130087154846597,0.548912938237746,0.0798868676353269,0.3202715125515439,0.15485261742817102,2.1373743405930585,2.337154870865038,0.18156342442602857,0.5427521613089238,0.3344195571581597,1.8610679438886653,0.8205419611634532,0.18185202580611878,0.16504492974582152,0.29476935941929394,3.51079381480552
tabb_c2_sim_quat,0,1.0,ok,10,4,0.37776379812014993,0.26068195242424136,1.3224522134808927,0.13948406025475607,1.334341090746336,0.1664585005478922,2.4312867774097944,1.583229627037652,0.11463476278808644,0.48298958448704843,0.2586864320345259,1.8130088403348246,0.5488983048704534,0.07988622024942207,0.32027006224155713,0.15485250395738198,2.137374322171184,2.3371396514804266,0.1815634223416506,0.5427501018973822,0.3344196356807867,1.8610692119863517,0.8205412705350384,0.18185183563986515,0.16504544385461184,0.29476923802427096,3.5107937729263394
tabb_rp1,0,1.0,ok,10,4,0.31352087487057434,0.21329999272715347,0.5726715995833687,0.050479870512957326,0.7048308795838995,0.0807821237305573,2.4246983464233733,0.8651293234437868,0.06677027727449147,0.38766705018636743,0.23496876622869275,1.8102841297064296,0.3977530816535105,0.029222557007064404,0.2961916821552465,0.15252605047706483,2.1488796889355335,0.6583141327126478,0.04330606153505615,0.31340993727289085,0.25135392845214044,1.7970279521273418,0.36948986052352956,0.06262058623521728,0.25681482986779275,0.2143512257507158,3.520302014895787
tabb_rp2,0,1.0,ok,10,4,7.577029114587148,0.5464062708829046,3.3066789547914834,0.510508260650506,9.37012413445895,0.8468387590949167,4.355868313225102,2.026420785753315,0.8461532439723753,11.979193049122125,0.8807034116360659,4.0379990798871495,5.143696435286657,0.29244227909213966,6.245748122508502,0.34547488308015456,3.245230391358493,4.612060780403027,0.6629245635842658,10.064372649421799,0.6755108070918121,5.08090714861062,1.4445378177229349,0.24051295595324346,2.018802637296167,0.28393598172358586,4.82097300694219
tabb_c2_sim,0,3.0,ok,10,4,1.1378610306653645,0.781700315446311,3.9734163218042955,0.4176005777810914,3.9793548129419496,0.49428532287737403,7.2946731908643825,4.7942697374134235,0.34728034587322887,1.4618426304367054,0.7769822521013305,5.439418549692867,1.6333163127641315,0.2391897720208098,0.9594085605402117,0.46474945143008684,6.408641036826982,7.025147859016859,0.5437620735596352,1.637560839857738,1.0054427788658744,5.583512824826621,2.4409313780227686,0.5401701196706915,0.4926320918268028,0.8796267793879524,10.53638734497803
tabb_c2_sim_euler,0,3.0,ok,10,4,1.1378644821133093,0.7817004928575693,3.9734048445878005,0.4176007106762807,3.9793537956881146,0.4942855111160472,7.2946733690867,4.794265715431499,0.3472806128443967,1.461842573131058,0.776982273333791,5.439418711876892,1.6332683482109636,0.23918928495415112,0.9594209184075666,0.4647495077024538,6.408641119897675,7.025153546816876,0.5437626976645176,1.637562311915357,1.0054433271833967,5.583513479318064,2.4409317678918634,0.5401702472420573,0.49263212499925435,0.8796268632106354,10.536387357446792
tabb_c2_sim_quat,0,3.0,ok,10,4,1.1378645053340852,0.781700336553371,3.9734026155853135,0.4176006004883633,3.9793590382484987,0.49428561962461987,7.294673155927052,4.794276689243625,0.34728073196086656,1.461844220301583,0.7769822994639745,5.439418404042628,1.6332557846667828,0.23918926040893757,0.9594217761773253,0.4647492816374094,6.4086412139270355,7.025147561535698,0.5437625337753501,1.6375599908204497,1.0054431510715216,5.583512627347374,2.4409304268951484,0.5401698758082989,0.4926320340369824,0.8796266140405788,10.536387320347593
tabb_rp1,0,3.0,ok,10,4,0.947114264739263,0.6399212938670251,1.719775567698336,0.1510718689688772,2.1143655190547843,0.2417518048496142,7.274475798943357,2.6038335501667227,0.20103059361341527,1.159295511455999,0.7044366084034467,5.428915776471418,1.1912206202028415,0.08722887743096065,0.8997051569507921,0.45807436510314314,6.44363416323623,1.9751153628706077,0.1298616551928836,0.940997053066605,0.7555671222918419,5.393233478894783,1.1089327375531717,0.18616634963824932,0.7884593374836559,0.6416070796696689,10.563686738167386
tabb_rp2,0,3.0,ok,10,4,23.239042276482415,1.745758858478249,9.891007266343344,1.6593833289413205,26.566805767697772,2.575320042744347,15.91610850351676,6.484975542543914,2.072718553160496,29.873975713318444,2.1900790198512468,10.46901428630152,15.202514151209497,0.9682703716542052,19.04788008186455,1.1191839187142893,9.833249929858457,13.458010281923222,2.2801347546833948,34.54665460518406,2.319523121477372,17.49328032254526,4.418529089696742,1.3164096362671855,9.487658705562602,1.3542493738700883,22.382629846152536
tabb_c2_sim,0,5.0,ok,10,4,1.9043725776409457,1.302370761549495,6.633913858088711,0.6946729460893009,6.595546515319316,0.8155875048485042,12.121731782369755,8.064496217841796,0.5844227961261954,2.457794841216485,1.2965315883042434,9.066576671611513,2.6993603213540545,0.3977216120001356,1.5964691971388563,0.7749074071375097,10.675564491859957,11.737768990330455,0.905173892211073,2.7462330274827877,1.6796779105100597,9.306808245364115,4.034029902828536,0.8913734840197995,0.8169932447256536,1.4583661402461672,17.481977461014015
tabb_c2_sim_euler,0,5.0,ok,10,4,1.9043728846811576,1.3023710107932975,6.633917581769202,0.6946735850043843,6.595552056148663,0.8155883075302395,12.121731889566579,8.064521204307812,0.584424896002271,2.4578022702919435,1.2965323659671295,9.06657743090126,2.699353999938055,0.39772173018606616,1.5964642603121328,0.7749073827944833,10.675564533751722,11.737764136739154,0.9051739092645542,2.746231492212134,1.6796779396489043,9.30680796019307,4.034030986091785,0.8913738045646458,0.8169935159084194,1.458366354762673,17.481977490589593
tabb_c2_sim_quat,0,5.0,ok,10,4,1.904369578156805,1.3023709086880553,6.633915296704839,0.6946732181642697,6.595550174441687,0.8155876905847127,12.121731672880909,8.064504013858908,0.5844231638134764,2.457798488230449,1.2965316340706194,9.066576929336719,2.699356276466199,0.39772151227185504,1.5964540316786775,0.7749073287603527,10.67556450299982,11.737769371064342,0.9051741475326105,2.746232352988303,1.6796781585489642,9.306807304741023,4.0340315254299055,0.8913740490391371,0.8169934397297909,1.4583665133722852,17.481977518187502
tabb_rp1,0,5.0,ok,10,4,1.5595255889739044,1.0685157386174413,2.880416242633029,0.2578382058004074,3.569718316260864,0.4131299473937142,12.085410425228027,4.353997638403617,0.33624614193599595,1.9261430698196884,1.1733033585800776,9.04520627559469,1.9824552887031064,0.14463709127029928,1.5184615584203365,0.7643046360740416,10.734690584448655,3.2920297478640332,0.2163406661132478,1.569698439340295,1.2617852782615673,8.992570916032667,1.893182295561359,0.3341289238820867,1.2237992883152982,1.0746696815540786,17.520942800188525
tabb_rp2,0,5.0,ok,10,4,36.6401430616351,2.9109683844614382,16.68760052826866,2.8124038825451865,41.63214650732923,4.0272495830001995,29.863221424738413,12.679753397732476,2.9970790958063556,39.29707607664667,3.1031446797156637,14.602830271322308,24.35347800812822,1.6392065562666407,31.207984592663177,1.8881331857338872,16.305154042976802,22.100133321143623,3.4365088485353454,53.00040116538294,3.530822865436234,27.013917033314275,7.617037386070322,3.176821029572404,23.05511041184763,3.121772806959968,48.62645262190613
tabb_c2_sim,1,0.0,ok,10,4,9.310017681540561e-07,4.6968283961434397e-08,9.685979016765968e-07,3.7971497917341763e-08,1.5657078319161157e-06,6.621763081202342e-08,7.602777960586683e-07,1.7419783746226574e-06,3.824860556069498e-08,1.378169208637326e-06,6.149265408656492e-08,8.416678586578747e-07,1.0601611240570092e-06,4.7084591536998116e-08,9.317937585443826e-07,6.50043000970741e-08,8.809269624816484e-07,1.071203366609402e-06,6.646647745897109e-08,1.4129251704930222e-06,6.12898579343822e-08,9.097532317939173e-07,1.0487414173190979e-09,8.631711270286737e-11,1.1189349414934145e-09,8.632372771635707e-11,1.1262481750022366e-09
