method,split,event_id,pair,translation_mm,rotation_deg,directed_corner_count,cross_view_pixel_sse,cross_view_reprojection_rmse_px,pixel_failure
shah,prior_comparison,2,0-1,144.70796068458293,17.086035749599045,68,490491.9600458316,84.93007158537854,
shah,prior_comparison,2,0-2,19.46773591431237,6.489630262644879,114,1944846.7967706444,130.61416317074932,
shah,prior_comparison,2,0-3,60.611951548120494,5.783952965848805,94,1210606.0758486507,113.48474805427861,
shah,prior_comparison,2,1-2,334.46360652293356,23.497820421931895,74,1744362.0703468025,153.53325506251707,
shah,prior_comparison,2,1-3,375.4557848219731,22.837445982475526,54,1611257.0294538962,172.73706359098244,
shah,prior_comparison,2,2-3,57.30205371549522,1.9610872993610973,100,1301781.8355683086,114.09565441191477,
shah,prior_comparison,5,0-1,143.1567162058388,17.11060900141042,57,389265.59389710834,82.63910058539665,
shah,prior_comparison,5,0-2,21.511974047223163,6.475769628584573,103,1337469.5668647597,113.9523647225956,
shah,prior_comparison,5,0-3,60.33002977792033,5.828974115634466,82,1028625.1786838259,112.00093524673898,
shah,prior_comparison,5,1-2,330.77779001977905,23.410629406011054,70,1212661.6567855943,131.61967160755233,
shah,prior_comparison,5,1-3,374.94298995395764,22.902193136233556,49,1473901.081566209,173.43475404172736,
shah,prior_comparison,5,2-3,69.77832057145358,2.2984584331176867,95,869479.4633592258,95.66825703325698,
shah,prior_comparison,9,0-1,142.6323094979596,16.95860932472382,60,431922.0550276586,84.84515847782738,
shah,prior_comparison,9,0-2,21.212331222653855,6.320271102657316,106,1790150.7012565678,129.9546619509966,
shah,prior_comparison,9,0-3,60.87399769305448,5.717288436764751,85,1069175.9837044291,112.15409481939565,
shah,prior_comparison,9,1-2,330.3244649568806,23.16335231754761,74,1666104.1839497285,150.0497297722527,
shah,prior_comparison,9,1-3,373.0736513732507,22.64408473651745,53,1637151.455158304,175.75451657731728,
shah,prior_comparison,9,2-3,51.803488534522515,2.1445694342265105,99,1309426.2269501507,115.00664130801759,
shah,prior_comparison,12,0-1,142.5907273385099,16.89062736773895,66,527220.8259084832,89.37669904369211,
shah,prior_comparison,12,0-2,19.90838249332009,6.574420281281159,106,1685941.8586999648,126.11547040124765,
shah,prior_comparison,12,0-3,60.49460831605588,5.839050499959235,82,1042365.8268969313,112.7465226815969,
shah,prior_comparison,12,1-2,331.9173474015643,23.398814501463313,80,1853423.5095151681,152.20970359651713,
shah,prior_comparison,12,1-3,373.84477360299735,22.699330107891775,56,1997828.9558899608,188.87963646053424,
shah,prior_comparison,12,2-3,54.5580258764736,1.9001252319585609,96,1072576.6077400248,105.70086564116647,
tsai,prior_comparison,2,0-1,148.70055523120737,17.06875947792692,68,602630.8350233762,94.13935501217583,
tsai,prior_comparison,2,0-2,12.224387935080253,8.169744397974464,114,2189247.4738625637,138.57822776078766,
tsai,prior_comparison,2,0-3,44.89230133775383,7.524967423371026,94,900961.8152993978,97.90148192320457,
tsai,prior_comparison,2,1-2,356.9407749684765,25.028141290121713,74,2017287.693111288,165.10797830966223,
tsai,prior_comparison,2,1-3,370.0778822516359,24.470610542995693,54,1590338.352904984,171.61209234486125,
tsai,prior_comparison,2,2-3,50.64785228015352,3.5428637492478545,100,864428.914358067,92.97466936526675,
tsai,prior_comparison,5,0-1,147.07933066243365,17.090552277013533,57,481677.35857906705,91.92649223739232,
tsai,prior_comparison,5,0-2,14.49720011715336,7.975024394478892,103,1689979.3652783846,128.09202415914973,
tsai,prior_comparison,5,0-3,44.99596534239353,7.555915119797945,82,782052.4714646974,97.6587183090409,
tsai,prior_comparison,5,1-2,351.8882701067035,24.68088443684017,70,1421180.8610752313,142.48713531279293,
tsai,prior_comparison,5,1-3,369.50024462006866,24.521304258153418,49,1459714.6993972934,172.5980761945718,
tsai,prior_comparison,5,2-3,65.22607247855545,4.454574754983276,95,623362.2635442731,81.00437048275937,
tsai,prior_comparison,9,0-1,146.6251697250276,16.939981401585815,60,531081.3267339477,94.081642447216,
tsai,prior_comparison,9,0-2,16.2566204219362,7.850228707993148,106,2033134.8343573255,138.49374464306246,
tsai,prior_comparison,9,0-3,45.05318412298763,7.451547634091578,85,810756.3135069446,97.66426967253652,
tsai,prior_comparison,9,1-2,346.41638724711663,24.40865168670367,74,1798499.5595914307,155.89755643558658,
tsai,prior_comparison,9,1-3,367.68992076358035,24.271180915301187,53,1610032.167889746,174.2927578296987,
tsai,prior_comparison,9,2-3,44.0573492310565,4.176129863431326,99,1114903.4079907234,106.12092435408242,
tsai,prior_comparison,12,0-1,146.6019489797916,16.872676122616394,66,643810.6791023398,98.76592154749714,
tsai,prior_comparison,12,0-2,12.501162508699242,8.330800056030577,106,1812317.3159912773,130.75677102823025,
tsai,prior_comparison,12,0-3,44.905142354781944,7.572052896915936,82,782131.9370220809,97.66367980947582,
tsai,prior_comparison,12,1-2,353.48438241004413,25.068241025472595,80,2057030.1894951756,160.35235379840765,
tsai,prior_comparison,12,1-3,368.46003446445764,24.327160731737365,56,1883284.5117710095,183.38506091647557,
tsai,prior_comparison,12,2-3,47.35009919958357,3.197102164724035,96,778748.2832577421,90.06642706322269,
park,prior_comparison,2,0-1,149.42183810223077,17.12250969259936,68,595945.0434233489,93.61569151270629,
park,prior_comparison,2,0-2,20.42463245119458,6.4848227889600105,114,2024231.5417340181,133.25320646331383,
park,prior_comparison,2,0-3,66.34158898893448,5.669363348306136,94,1455675.909953022,124.44241212573166,
park,prior_comparison,2,1-2,336.9155591954929,23.527578291126645,74,1837289.9002259993,157.56980007268504,
park,prior_comparison,2,1-3,365.84254161444636,22.76348467012997,54,1892255.217014066,187.1944531177093,
park,prior_comparison,2,2-3,60.56536051299478,1.9307869601654224,100,1169189.2027317379,108.12905265153015,
park,prior_comparison,5,0-1,147.80647538334952,17.1470944932703,57,475119.41696267726,91.2985671725809,
park,prior_comparison,5,0-2,22.49377970152812,6.468861056964561,103,1392717.1491474526,116.28209543983192,
park,prior_comparison,5,0-3,66.43082429780844,5.715354110346158,82,1266291.9291853434,124.26819585984295,
park,prior_comparison,5,1-2,333.77812749258237,23.43849480428983,70,1294510.8519514643,135.98901488993587,
park,prior_comparison,5,1-3,365.4274640031218,22.82921272434853,49,1742622.7665253961,188.58348265182113,
park,prior_comparison,5,2-3,73.45680144241982,2.211293814505736,95,732121.5364740307,87.78691525051056,
park,prior_comparison,9,0-1,147.3445771196988,16.995026275654528,60,524214.64396046585,93.47144340746232,
park,prior_comparison,9,0-2,22.0297669976985,6.315931976335834,106,1860024.4231046815,132.46660038654534,
park,prior_comparison,9,0-3,66.51495515415566,5.603792196118727,85,1313375.2707142679,124.30395719006307,
park,prior_comparison,9,1-2,333.16949334586997,23.19233665918961,74,1754466.9506978004,153.97731276804245,
park,prior_comparison,9,1-3,363.61421797583637,22.570696366381025,53,1913603.9410202014,190.01509081183582,
park,prior_comparison,9,2-3,52.96096715633086,2.116709802164424,99,1254646.3802957758,112.57528929815545,
park,prior_comparison,12,0-1,147.31310950338184,16.92710865039761,66,634128.7150145767,98.02046130045599,
park,prior_comparison,12,0-2,20.888403310475823,6.569510976837848,106,1755633.8831299352,128.6957023490396,
park,prior_comparison,12,0-3,66.20392946951193,5.72537696734967,82,1267320.2245573096,124.31864176270302,
park,prior_comparison,12,1-2,334.83779304348116,23.428374715101334,80,1980915.5818768232,157.35769689932644,
park,prior_comparison,12,1-3,364.30613919145674,22.62580192254798,56,2231743.5875220285,199.63106988365655,
park,prior_comparison,12,2-3,57.23200991250353,1.8876771661925478,96,896689.9050469298,96.64636487855532,
horaud,prior_comparison,2,0-1,149.1723817367867,17.086064998744003,68,593642.1773839614,93.43464036615313,
horaud,prior_comparison,2,0-2,20.378235174511676,6.489622472190146,114,2022108.6989114266,133.1833157887511,
horaud,prior_comparison,2,0-3,65.37521938955717,5.776003890168354,94,1423852.3932455855,123.07463542741588,
horaud,prior_comparison,2,1-2,336.58499363623537,23.49784159963087,74,1836112.8967307662,157.51932085400713,
horaud,prior_comparison,2,1-3,366.11005199787945,22.829061532221093,54,1871313.3478618409,186.1557167704779,
horaud,prior_comparison,2,2-3,60.33831127201154,1.969004731189388,100,1152225.4881237657,107.34176671378974,
horaud,prior_comparison,5,0-1,147.5554115243088,17.110638199929717,57,473269.79466674454,91.12068290900005,
horaud,prior_comparison,5,0-2,22.44843213307283,6.475764977989382,103,1390660.2263697751,116.19619441196454,
horaud,prior_comparison,5,0-3,65.45830635567624,5.821005857683733,82,1238133.4295481795,122.87875392117915,
horaud,prior_comparison,5,1-2,333.4779367755574,23.410653037494836,70,1293787.9305066082,135.95103795676948,
horaud,prior_comparison,5,1-3,365.6862992886563,22.893769538571,49,1722986.1237811842,187.5179514552763,
horaud,prior_comparison,5,2-3,73.35136069532189,2.306684969247299,95,721161.881141795,87.12736479562217,
horaud,prior_comparison,9,0-1,147.09505889238648,16.95863856717706,60,522184.5222394118,93.2902747914104,
horaud,prior_comparison,9,0-2,21.970006259882663,6.32026325820058,106,1858043.9598559658,132.39605961815772,
horaud,prior_comparison,9,0-3,65.5504740905438,5.709278080914457,85,1284099.1065430525,122.9107331044413,
horaud,prior_comparison,9,1-2,332.8592334034651,23.16337399279387,74,1753810.4708043085,153.94850274476696,
horaud,prior_comparison,9,1-3,363.86957846156076,22.63566490212053,53,1892548.3425776102,188.96682061652297,
horaud,prior_comparison,9,2-3,52.65159702400206,2.151201064357214,99,1237315.3849359476,111.79505893094385,
horaud,prior_comparison,12,0-1,147.06361854579296,16.890656602680963,66,631779.6911038376,97.83874264410473,
horaud,prior_comparison,12,0-2,20.837311514051763,6.574412949611837,106,1754010.9369796724,128.63620404215243,
horaud,prior_comparison,12,0-3,65.23925781437796,5.831046165523445,82,1239394.6123365383,122.94132113788478,
horaud,prior_comparison,12,1-2,334.52093516327596,23.39883609055754,80,1979701.5768118934,157.30947113937123,
horaud,prior_comparison,12,1-3,364.56757972283026,22.690925535117568,56,2209237.134724928,198.6219099698923,
horaud,prior_comparison,12,2-3,56.82848321070484,1.9077442739401698,96,887507.6794898806,96.1502556489213,
andreff,prior_comparison,2,0-1,180.89095799371773,17.00781437994107,68,1177344.3063275965,131.58224370240376,
andreff,prior_comparison,2,0-2,27.3890274688336,6.461600666478769,114,2218257.437379335,139.49336390489313,
andreff,prior_comparison,2,0-3,235.47488896273444,5.482061698998428,94,15285442.323112886,403.2506522545923,
andreff,prior_comparison,2,1-2,329.6666441559186,23.39383504506661,74,1973828.2239765897,163.31979175244507,
andreff,prior_comparison,2,1-3,118.47344677134221,22.41933429872368,54,3996578.8572110897,272.0491124374111,
andreff,prior_comparison,2,2-3,241.33865358978903,2.365251136672082,100,18204395.541070603,426.6660935798696,
andreff,prior_comparison,5,0-1,179.16437584907484,17.032344962336033,57,970230.3941230171,130.4667998450461,
andreff,prior_comparison,5,0-2,30.03194577486821,6.451537833927289,103,1448653.161603305,118.59424017199923,
andreff,prior_comparison,5,0-3,235.96455713186472,5.524747216166872,82,13578074.769792464,406.9229382578425,
andreff,prior_comparison,5,1-2,326.42646125339974,23.310613555846842,70,1284195.3353885536,135.4461060658737,
andreff,prior_comparison,5,1-3,116.26724267256508,22.481155632618872,49,3549528.9388139592,269.14562247646546,
andreff,prior_comparison,5,2-3,226.99829122866484,2.7562732399909455,95,13651268.549348745,379.0746149208032,
andreff,prior_comparison,9,0-1,178.83073316673742,16.880425033024387,60,1046071.9362665687,132.03988893932575,
andreff,prior_comparison,9,0-2,28.44270371940166,6.296244049994297,106,2012358.7165748503,137.78431040616476,
andreff,prior_comparison,9,0-3,235.17795702539044,5.411627693585962,85,13930063.09049572,404.8247709593653,
andreff,prior_comparison,9,1-2,325.9472024949522,23.065440323765902,74,1767781.8647795697,154.5604869254844,
andreff,prior_comparison,9,1-3,115.69661991091056,22.223862672112137,53,3814343.701995783,268.26991835511495,
andreff,prior_comparison,9,2-3,246.12638023067356,2.4847023319277906,99,18034900.729996964,426.8146136725098,
andreff,prior_comparison,12,0-1,178.84702879161978,16.812390787586722,66,1236630.8635762124,136.88254551368576,
andreff,prior_comparison,12,0-2,27.61539651584658,6.544295854999849,106,1924260.720997691,134.73456508364922,
andreff,prior_comparison,12,0-3,235.67092569443332,5.533430907924389,82,13548084.376881838,406.4732970091465,
andreff,prior_comparison,12,1-2,329.14217929288276,23.29193128472342,80,2095199.4135586382,161.83322486276722,
andreff,prior_comparison,12,1-3,116.72781696626365,22.27985870918429,56,4097402.117790768,270.4956468421432,
andreff,prior_comparison,12,2-3,244.4206749387769,2.2840046456189755,96,20121794.791962806,457.82314170752215,
daniilidis,prior_comparison,2,0-1,146.95007410443534,17.045533222619863,68,505567.1409479837,86.22534949940115,
daniilidis,prior_comparison,2,0-2,21.576747046628842,6.306295705535046,114,2104754.1616621614,135.8777237226693,
daniilidis,prior_comparison,2,0-3,61.76190774305531,5.323521708078367,94,1164430.23098965,111.29939644412302,
daniilidis,prior_comparison,2,1-2,330.3629474541816,23.24015769785919,74,1715614.281285529,152.26285421641344,
