method,camera,raw,included,train,heldout,heldout_translation_mm,heldout_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,camera_pose_aggregation,reprojection_rmse_px,reprojection_complete,observations,corners
shah,0,15,15,11,4,0.07875182726936458,0.022481792885907625,0.2057889487552383,0.022481792885908097,equal-camera macro after per-camera event mean,0.45431401726818116,True,4,191
shah,1,15,13,9,4,0.9333904835028479,0.11883552599704716,1.5110601720305326,0.11883552599704725,equal-camera macro after per-camera event mean,0.6689465797014867,True,4,60
shah,2,15,15,11,4,2.5682411494650057,0.4559093957533296,4.008537401260022,0.4559093957533302,equal-camera macro after per-camera event mean,3.2016680070773273,True,4,238
shah,3,15,15,11,4,0.1897793865058235,0.05547656973594564,0.49372841341876156,0.055476569735945655,equal-camera macro after per-camera event mean,0.4835157982150852,True,4,152
tsai,0,15,15,11,4,0.07875182726954756,0.022481792885903906,0.20578894875525228,0.02248179288590356,equal-camera macro after per-camera event mean,0.45431401726819504,True,4,191
tsai,1,15,13,9,4,0.9333904835028065,0.11883552599705366,1.511060172030547,0.1188355259970547,equal-camera macro after per-camera event mean,0.6689465797014736,True,4,60
tsai,2,15,15,11,4,4.038405860271484,0.7210806686164726,4.4694253454602775,0.7210806686164725,equal-camera macro after per-camera event mean,8.692572846627192,True,4,238
tsai,3,15,15,11,4,0.18977938650583137,0.05547656973595654,0.4937284134187855,0.05547656973595735,equal-camera macro after per-camera event mean,0.4835157982151206,True,4,152
park,0,15,15,11,4,0.07875182726927435,0.022481792885911303,0.20578894875523301,0.02248179288591172,equal-camera macro after per-camera event mean,0.4543140172681825,True,4,191
park,1,15,13,9,4,0.9333904835029675,0.11883552599706475,1.5110601720305423,0.11883552599706526,equal-camera macro after per-camera event mean,0.6689465797015538,True,4,60
park,2,15,15,11,4,2.326944157957583,0.4562103086910727,3.7584458463806247,0.45621030869107326,equal-camera macro after per-camera event mean,3.0377812011590883,True,4,238
park,3,15,15,11,4,0.1897793865056757,0.05547656973595416,0.4937284134187526,0.05547656973595484,equal-camera macro after per-camera event mean,0.48351579821511403,True,4,152
horaud,0,15,15,11,4,0.07875182726903501,0.02248179288589003,0.2057889487552288,0.02248179288588937,equal-camera macro after per-camera event mean,0.4543140172681806,True,4,191
horaud,1,15,13,9,4,0.933390483502937,0.1188355259970717,1.5110601720306158,0.11883552599707069,equal-camera macro after per-camera event mean,0.668946579701532,True,4,60
horaud,2,15,15,11,4,2.3259507239351267,0.45590971484509607,3.7599856285402673,0.4559097148450967,equal-camera macro after per-camera event mean,3.0216136618814073,True,4,238
horaud,3,15,15,11,4,0.189779386505672,0.055476569735946085,0.4937284134187739,0.055476569735946515,equal-camera macro after per-camera event mean,0.4835157982151208,True,4,152
andreff,0,15,15,11,4,0.07875182726955134,0.022481792885903868,0.20578894875520815,0.022481792885904458,equal-camera macro after per-camera event mean,0.45431401726818266,True,4,191
andreff,1,15,13,9,4,0.9333904835028901,0.11883552599705813,1.5110601720305064,0.11883552599705896,equal-camera macro after per-camera event mean,0.6689465797015305,True,4,60
andreff,2,15,15,11,4,1.9541133461022695,0.45545422696292914,3.756817626491446,0.4554542269629291,equal-camera macro after per-camera event mean,2.2124042085707702,True,4,238
andreff,3,15,15,11,4,0.1897793865057749,0.055476569735944406,0.4937284134187607,0.05547656973594365,equal-camera macro after per-camera event mean,0.4835157982151076,True,4,152
daniilidis,0,15,15,11,4,0.07875182726927205,0.022481792885892044,0.2057889487552466,0.0224817928858922,equal-camera macro after per-camera event mean,0.45431401726819803,True,4,191
daniilidis,1,15,13,9,4,0.933390483502816,0.11883552599705509,1.5110601720305303,0.11883552599705535,equal-camera macro after per-camera event mean,0.6689465797014887,True,4,60
daniilidis,2,15,15,11,4,2.526786697859391,0.4681224670029567,4.2267887315306005,0.4681224670029562,equal-camera macro after per-camera event mean,2.4754537856561734,True,4,238
daniilidis,3,15,15,11,4,0.18977938650573667,0.055476569735945745,0.4937284134188007,0.055476569735945086,equal-camera macro after per-camera event mean,0.48351579821509194,True,4,152
