method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,heldout,cam0-1_02:3,cam0-1_02,3,3,0,2.0876974645407267,0.3172427259551993,20,115.3823240210596,2.401898457689871,
shah,heldout,cam0-1_02:7,cam0-1_02,7,7,0,1.1760364460839086,0.10100267552102082,32,28.353219393329653,0.941295971542188,
shah,heldout,cam0-1_02:11,cam0-1_02,11,11,0,1.41678613642659,0.3239107877428817,16,51.454978787072264,1.7933031462059104,
shah,heldout,cam0-1_02:20,cam0-1_02,20,20,0,1.5361458020632293,0.42593758152771993,25,71.0912895726209,1.6863130145097132,
shah,heldout,cam0-1_02:24,cam0-1_02,24,24,0,0.8226061186013203,0.3474030285352223,32,77.98887956929292,1.5611382022551379,
shah,heldout,cam0-1_02:28,cam0-1_02,28,28,0,1.0844596782971967,0.3898295081740975,25,178.44279976831544,2.671649675899259,
shah,heldout,cam0-3_01:2,cam0-3_01,2,32,0,0.7760952876249921,0.05031666969156526,32,136.71416660356178,2.0669585642584387,
shah,heldout,cam0-3_01:6,cam0-3_01,6,36,0,0.8715234435010545,0.15115952254066234,32,144.33503585263827,2.1237866819421733,
shah,heldout,cam0-3_01:10,cam0-3_01,10,40,0,2.102849232987419,0.19373568703373054,35,43.5545095623017,1.115533306953632,
shah,heldout,cam0-3_01:14,cam0-3_01,14,44,0,0.9178364797107449,0.23759289111374537,32,35.42426159023328,1.0521445597895709,
shah,heldout,cam0-3_01:18,cam0-3_01,18,48,0,1.0187808246502803,0.15552187535470996,26,41.22729937867565,1.2592320519738587,
shah,heldout,cam0-3_01:22,cam0-3_01,22,52,0,1.2249277441925683,0.4196299154824257,18,46.62569804405764,1.609446040724324,
shah,heldout,cam0-3_01:26,cam0-3_01,26,56,0,1.5447486348613555,0.3095683591856013,9,48.2970251765036,2.3165353722148563,
shah,heldout,cam0-3_01:30,cam0-3_01,30,60,0,1.8637405037069494,1.1007070420776184,6,45.114063832143174,2.7420814427530282,
shah,heldout,cam0-3_01:38,cam0-3_01,38,68,0,0.7330769087171447,0.1281490054603423,20,39.65776536465506,1.4081506553748975,
shah,heldout,cam0-1_02:3,cam0-1_02,3,3,1,3.0079863792878228,0.42150257677936587,40,112.79308091405568,1.6792340583883452,
shah,heldout,cam0-1_02:7,cam0-1_02,7,7,1,5.783909132010176,1.2739184452917995,23,333.94171451027785,3.810407455733275,
shah,heldout,cam0-1_02:11,cam0-1_02,11,11,1,2.894909772651347,0.3517801891634707,36,226.7132856340608,2.509500202752094,
shah,heldout,cam0-1_02:15,cam0-1_02,15,15,1,1.1190969176390335,0.2969840678602351,40,114.96170332965823,1.6953001454732008,
shah,heldout,cam0-1_02:20,cam0-1_02,20,20,1,4.195749737921055,1.0305672424182122,31,528.6152578857166,4.12941946199313,
shah,heldout,cam0-1_02:24,cam0-1_02,24,24,1,6.426548001954733,1.5397020041861234,15,422.8446566973367,5.309392034858836,
shah,heldout,cam0-1_02:28,cam0-1_02,28,28,1,2.9751357177777398,0.5511379459595712,33,135.39684137915617,2.025570188180888,
shah,heldout,cam1-3_02:2,cam1-3_02,2,72,1,1.1910668537893083,0.19561363489853595,34,83.077613230998,1.5631568100086477,
shah,heldout,cam1-3_02:6,cam1-3_02,6,76,1,1.892820586951618,0.5484169651762079,36,239.8552389544668,2.5812100895729055,
shah,heldout,cam1-3_02:10,cam1-3_02,10,80,1,0.2973051482863943,0.5237333004176238,30,86.38270422770188,1.6968864058200035,
shah,heldout,cam1-3_02:14,cam1-3_02,14,84,1,1.1479376488399367,0.8749239471525772,38,22.898474410327122,0.7762676290112281,
shah,heldout,cam1-3_02:18,cam1-3_02,18,88,1,0.7063118478029576,0.5276230482116371,38,67.93620821675094,1.3370844973569895,
shah,heldout,cam1-3_02:22,cam1-3_02,22,92,1,1.704331034215902,0.24581291422845258,29,36.944374092809525,1.1286912484088867,
shah,heldout,cam1-3_02:26,cam1-3_02,26,96,1,1.4721541487201695,0.27685102875133305,32,21.30905280125282,0.8160318008749112,
shah,heldout,cam1-3_02:30,cam1-3_02,30,100,1,1.8887906569686745,0.20641362777815225,4,4.970282323259605,1.1147064998531682,
shah,heldout,cam1-3_02:34,cam1-3_02,34,104,1,3.333258513218212,0.2642165956131912,24,12.645716280434588,0.7258821150972848,
shah,heldout,cam1-3_02:38,cam1-3_02,38,108,1,5.211532759536953,0.4175395133730661,14,28.436076342546663,1.425183605779236,
shah,heldout,cam1-3_02:42,cam1-3_02,42,112,1,2.496073529070735,0.4613871967193524,14,24.198096323458316,1.3146997572356944,
shah,heldout,cam0-3_01:2,cam0-3_01,2,32,3,27.116828422496482,4.938655950226892,17,2157.905373786746,11.266570472985547,
shah,heldout,cam0-3_01:6,cam0-3_01,6,36,3,13.695452101964754,2.3038080096320956,21,10504.23420355081,22.365187876262404,
shah,heldout,cam0-3_01:10,cam0-3_01,10,40,3,8.018265002418817,1.661963003722393,25,2178.1675794912912,9.334168585345544,
shah,heldout,cam0-3_01:14,cam0-3_01,14,44,3,14.700302686736288,2.578713193204587,24,7168.2788235509415,17.2823113128604,
shah,heldout,cam0-3_01:18,cam0-3_01,18,48,3,17.8490671018282,2.129634536878243,22,19491.04369739187,29.76502195026287,
shah,heldout,cam0-3_01:22,cam0-3_01,22,52,3,26.2528132647735,4.713970259497764,10,4935.796218744429,22.21665190514635,
shah,heldout,cam0-3_01:30,cam0-3_01,30,60,3,19.73570127578697,5.942020309160961,25,4454.467381743232,13.348359272574637,
shah,heldout,cam0-3_01:34,cam0-3_01,34,64,3,41.06430522363028,12.130207802457374,25,12717.373087689006,22.55426619306335,
shah,heldout,cam0-3_01:38,cam0-3_01,38,68,3,8.919774816200322,2.5794399890279354,26,7065.524303036836,16.484869873074096,
shah,heldout,cam1-3_02:2,cam1-3_02,2,72,3,7.998536469820842,1.4941986737175805,40,1976.0403213890436,7.028585066336332,
shah,heldout,cam1-3_02:6,cam1-3_02,6,76,3,7.6592621477887795,1.603797110169001,17,1495.4409913442064,9.379078693448227,
shah,heldout,cam1-3_02:10,cam1-3_02,10,80,3,9.756688264679967,1.4060147822164548,29,3929.621844787228,11.640627197208369,
shah,heldout,cam1-3_02:14,cam1-3_02,14,84,3,6.539508313720317,1.4611972076077284,19,3541.8785497508347,13.65337542563017,
shah,heldout,cam1-3_02:18,cam1-3_02,18,88,3,11.17850865745639,1.5251483189554698,35,7242.0351708510225,14.384550413403385,
shah,heldout,cam1-3_02:22,cam1-3_02,22,92,3,10.475960615957145,1.8733052537177877,36,4087.4131224728817,10.655479970513975,
shah,heldout,cam1-3_02:26,cam1-3_02,26,96,3,11.447679688938248,1.8617139546756245,36,4466.213053814701,11.138288635022663,
shah,heldout,cam1-3_02:30,cam1-3_02,30,100,3,13.89163818740015,1.2537181087474163,26,5387.312389365244,14.394593522149002,
shah,heldout,cam1-3_02:34,cam1-3_02,34,104,3,13.213881388503816,1.7497212596268261,40,6819.448430885332,13.057036829699658,
shah,heldout,cam1-3_02:38,cam1-3_02,38,108,3,7.007739833469415,3.748191300732448,23,3557.437366617009,12.436687253964113,
shah,heldout,cam1-3_02:42,cam1-3_02,42,112,3,52.5020197155763,10.373818743841221,7,1259.854883932676,13.41563524896378,
shah,train,cam0-1_02:0,cam0-1_02,0,0,0,0.5561033872218379,0.08502471454293291,27,59.603383719814644,1.4857768104138338,
shah,train,cam0-1_02:1,cam0-1_02,1,1,0,1.4171791393675677,0.20165517298689856,15,97.93740899765426,2.555222221225312,
