method,camera,raw,included,train,heldout,success,chain_translation_mm,chain_rotation_deg,reprojection_rmse_px,reprojection_complete,scored_event_camera_pairs,pixel_event_camera_pairs,scored_corners
shah,0,70,59,44,15,True,1.2784873803976988,0.3101138183597695,1.7509230236557938,True,15,15,360
shah,1,77,75,57,18,True,2.652495465924598,0.5560069024432726,2.2136033695757247,True,18,18,511
shah,3,87,82,62,20,True,16.45119665895735,3.36646188839079,15.083299969191984,True,20,20,503
tsai,0,70,59,44,15,True,1.214473647547188,0.31182082732811645,2.248258708900915,True,15,15,360
tsai,1,77,75,57,18,True,5.644963259481638,0.6965577620212294,7.86156376610555,True,18,18,511
tsai,3,87,82,62,20,True,29.083453054521055,3.7450062076798667,30.506092945493318,True,20,20,503
park,0,70,59,44,15,True,1.2183739298839984,0.31071003736651104,1.7650560951490453,True,15,15,360
park,1,77,75,57,18,True,4.844315077233824,0.5567675952120128,7.23268373931512,True,18,18,511
park,3,87,82,62,20,True,24.00081150152456,3.362685978161365,25.196333954166878,True,20,20,503
horaud,0,70,59,44,15,True,1.223854687720605,0.3101137559463433,1.7752970450791627,True,15,15,360
horaud,1,77,75,57,18,True,4.836135008410158,0.5560114072730004,7.238224420744018,True,18,18,511
horaud,3,87,82,62,20,True,24.153318470484223,3.366906778196733,25.31783474796653,True,20,20,503
andreff,0,70,59,44,15,True,7.647082326729479,0.3107324701839563,10.830609336220963,True,15,15,360
andreff,1,77,75,57,18,True,27.248526704751594,0.5515281803878325,32.50089893271683,True,18,18,511
andreff,3,87,82,62,20,True,249.6894605811377,3.414022823945408,15049.203340516564,True,20,20,503
daniilidis,0,70,59,44,15,True,1.1961698607625388,0.3122081556144158,2.017024889572627,True,15,15,360
daniilidis,1,77,75,57,18,True,4.074577305560185,0.6081726315641846,2.5244622629477362,True,18,18,511
daniilidis,3,87,82,62,20,True,17.54445331123146,3.456442676236923,17.93009928266734,True,20,20,503
