method,key,pair,translation_mm,rotation_deg
shah,cam0-1_02:3,0-1,4.458985442076608,0.751597773567314
shah,cam0-1_02:7,0-1,7.779509750730341,1.1669750278767044
shah,cam0-1_02:11,0-1,4.3371359396417235,0.389819888180763
shah,cam0-1_02:20,0-1,7.58082720345149,1.5083721233803644
shah,cam0-1_02:24,0-1,10.719921505180327,1.863091867662822
shah,cam0-1_02:28,0-1,3.6952283954485705,0.3404746031565445
shah,cam0-3_01:2,0-3,14.813732001935827,3.008636411383542
shah,cam0-3_01:6,0-3,21.609031365591765,3.2522598539668057
shah,cam0-3_01:10,0-3,21.43531062757615,2.26606215472126
shah,cam0-3_01:14,0-3,26.081893510813263,4.03991271610123
shah,cam0-3_01:18,0-3,13.713488148333205,3.982902648775613
shah,cam0-3_01:22,0-3,15.170764150979814,2.585045873666753
shah,cam0-3_01:30,0-3,34.33282901345379,6.727598706080083
shah,cam0-3_01:38,0-3,18.771157624528414,3.4721881630438056
shah,cam1-3_02:2,1-3,23.355977910448196,3.3041058142061623
shah,cam1-3_02:6,1-3,18.22912147090427,3.319592324332277
shah,cam1-3_02:10,1-3,21.65003555599257,3.474759211985873
shah,cam1-3_02:14,1-3,24.124971582600462,3.4219185749241627
shah,cam1-3_02:18,1-3,22.953795231430494,3.242797834247315
shah,cam1-3_02:22,1-3,25.38903725832767,3.1875510125246573
shah,cam1-3_02:26,1-3,25.835928575357897,3.21592945871374
shah,cam1-3_02:30,1-3,21.225752750567352,3.1324088966730157
shah,cam1-3_02:34,1-3,27.727544678799507,3.0750692873288235
shah,cam1-3_02:38,1-3,21.261654794551124,4.987396337855081
shah,cam1-3_02:42,1-3,53.82783667271346,11.951911631254294
tsai,cam0-1_02:3,0-1,7.698509752363395,0.9886660355789445
tsai,cam0-1_02:7,0-1,10.059600229342237,1.348246652151599
tsai,cam0-1_02:11,0-1,7.01886978798438,0.38040699408538486
tsai,cam0-1_02:20,0-1,7.858051725510185,1.3071779966237027
tsai,cam0-1_02:24,0-1,8.915942356432378,1.7680161777338192
tsai,cam0-1_02:28,0-1,8.691762616439263,0.6635556606082731
tsai,cam0-3_01:2,0-3,33.04829898282065,4.5513757691183905
tsai,cam0-3_01:6,0-3,2.9084143536536433,2.0408205309451906
tsai,cam0-3_01:10,0-3,6.55103125394587,1.1740465700818008
tsai,cam0-3_01:14,0-3,5.727869440395455,2.658450503255495
tsai,cam0-3_01:18,0-3,11.475080255074191,2.6260402284534416
tsai,cam0-3_01:22,0-3,26.773383259069103,4.204175029983131
tsai,cam0-3_01:30,0-3,10.821099517231433,4.914370955187934
tsai,cam0-3_01:38,0-3,10.554093950256673,3.7942363857887322
tsai,cam1-3_02:2,1-3,56.435257839461265,5.141608260104233
tsai,cam1-3_02:6,1-3,47.30082477273752,5.247212838544217
tsai,cam1-3_02:10,1-3,53.95384848705394,5.27080867789004
tsai,cam1-3_02:14,1-3,58.998800069136344,5.363991966924662
tsai,cam1-3_02:18,1-3,55.73021577668866,5.1192686316950295
tsai,cam1-3_02:22,1-3,60.228883118771385,5.074676608212051
tsai,cam1-3_02:26,1-3,61.10107358756611,5.10451568838904
tsai,cam1-3_02:30,1-3,52.49998849235985,4.6719579536989455
tsai,cam1-3_02:34,1-3,65.16465320687969,4.9350010599819205
tsai,cam1-3_02:38,1-3,57.29044383546217,5.979725289708631
tsai,cam1-3_02:42,1-3,55.59339277346746,11.318616299383745
park,cam0-1_02:3,0-1,5.532332136555065,0.7510283023485076
park,cam0-1_02:7,0-1,6.634208655887026,1.1318807675181617
park,cam0-1_02:11,0-1,4.793184838314508,0.38553007337130035
park,cam0-1_02:20,0-1,5.195709203624147,1.4798577626907021
park,cam0-1_02:24,0-1,6.054292875608445,1.8300116529127775
park,cam0-1_02:28,0-1,6.056641229505765,0.3330414391194514
park,cam0-3_01:2,0-3,31.473618429899172,2.8982023715344325
park,cam0-3_01:6,0-3,21.10554549357297,3.373373700567122
park,cam0-3_01:10,0-3,20.901144199115038,2.394152962547551
park,cam0-3_01:14,0-3,23.63449639947905,4.168778484870239
park,cam0-3_01:18,0-3,20.64837912752513,4.1096253387401
park,cam0-3_01:22,0-3,25.37456121344909,2.4734402301029585
park,cam0-3_01:30,0-3,23.31071968847898,6.845740960793104
park,cam0-3_01:38,0-3,23.60562121770809,3.5293405533639333
park,cam1-3_02:2,1-3,47.79547543277672,3.2160144278795726
park,cam1-3_02:6,1-3,41.97005151712711,3.224551838446511
park,cam1-3_02:10,1-3,46.455438020128184,3.3902441262533793
park,cam1-3_02:14,1-3,49.381901380704214,3.3296459782938563
park,cam1-3_02:18,1-3,47.47906079625999,3.151290522629381
park,cam1-3_02:22,1-3,51.585755156744554,3.092272424763057
park,cam1-3_02:26,1-3,51.568445300748884,3.1230491444517496
park,cam1-3_02:30,1-3,44.89174095548577,3.0668421644761645
park,cam1-3_02:34,1-3,53.89652262028213,2.981202394658526
park,cam1-3_02:38,1-3,48.09197306563394,4.946304323866772
park,cam1-3_02:42,1-3,58.37515364914238,11.980585984604089
horaud,cam0-1_02:3,0-1,5.611673462533396,0.7516163658092466
horaud,cam0-1_02:7,0-1,6.786770493042182,1.1669580022950936
horaud,cam0-1_02:11,0-1,4.855279962883508,0.3898265853246049
horaud,cam0-1_02:20,0-1,5.2469126260734535,1.5083475574975764
horaud,cam0-1_02:24,0-1,6.078478120822347,1.863059780403753
horaud,cam0-1_02:28,0-1,6.129709315170592,0.34048656625360807
horaud,cam0-3_01:2,0-3,30.747711814366532,3.0066909473081935
horaud,cam0-3_01:6,0-3,19.92485241072169,3.2536461120665994
horaud,cam0-3_01:10,0-3,19.8764176710639,2.265482630966238
horaud,cam0-3_01:14,0-3,22.601221213981866,4.038187387954214
horaud,cam0-3_01:18,0-3,19.295627984739127,3.9824391777522243
horaud,cam0-3_01:22,0-3,24.29306102526341,2.582041222950688
horaud,cam0-3_01:30,0-3,22.297321521360598,6.73271182301991
horaud,cam0-3_01:38,0-3,22.608771533080656,3.4583528122061074
horaud,cam1-3_02:2,1-3,47.557240808649624,3.303061144004419
horaud,cam1-3_02:6,1-3,41.59220391098842,3.318352274554452
horaud,cam1-3_02:10,1-3,46.202067484478704,3.473533989596549
horaud,cam1-3_02:14,1-3,49.22908329851791,3.4195569514155895
