method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,heldout,3,0,0.6365807435580907,0.11890885510531055,5,8.181366748693499,1.2791690074961557,
shah,heldout,8,0,1.0046200493037476,0.16611371405936157,11,14.63856817512522,1.1535939168578273,
shah,heldout,15,0,1.305649893038048,0.20746572879955427,12,13.466715045653846,1.0593518083264346,
shah,train,0,0,2.1243969417342337,0.14153818075206,16,315.78084783862425,4.442555907348158,
shah,train,1,0,2.0821299507833433,0.2716005775940686,12,177.41423038011305,3.8450642645270254,
shah,train,2,0,3.370619675780904,0.423154111016132,14,347.5346701201691,4.98235938171701,
shah,train,4,0,1.4063967744519321,0.049655008892471125,16,42.27015702484216,1.625387588870001,
shah,train,6,0,2.2479695541883506,0.1814391898758595,9,74.68466133267319,2.880676258039135,
shah,train,7,0,1.0142439706532502,0.11487693111397963,11,13.79454761082292,1.1198436421224545,
shah,train,10,0,1.5225644497340813,0.15664600500782105,3,3.833315233666242,1.1303856618674062,
shah,train,12,0,1.2039612731397296,0.32335672713975716,5,9.721625036473375,1.3943905504895946,
shah,train,13,0,1.3626526091388493,0.16999973600405882,1,2.2112206841057596,1.4870173785486704,
shah,train,14,0,1.1147079809900893,0.09618657424780772,3,7.371627125180507,1.5675487366352714,
shah,heldout,3,3,5.907967848583393,0.5199382594371577,8,64.54816636274194,2.840514177986574,
shah,heldout,8,3,1.3964763776209794,0.3406626244453887,4,20.7728890251691,2.2788642470082054,
shah,heldout,15,3,3.935287561874933,0.24063997889691466,8,41.02418097875555,2.2645137717277066,
shah,train,0,3,1.9412670661818385,0.2242794034579173,9,18.44815447635818,1.4317104951133017,
shah,train,1,3,2.5226032509804814,0.253721616214017,8,53.716201938847504,2.591240097396599,
shah,train,2,3,3.8732784017128576,0.10674112247560819,4,26.20764847485269,2.5596703144571515,
shah,train,4,3,2.2259504956826808,0.20539127652835298,7,48.64641470981406,2.636188122211259,
shah,train,6,3,3.791963242491264,0.13248157448085174,7,49.28861480769463,2.65353173842212,
shah,train,7,3,1.6066877424498316,0.02865736814391447,1,6.913106637592321,2.6292787295363573,
shah,train,10,3,1.9661543854483632,0.21999025627331653,6,41.999046727554834,2.645721285634437,
shah,train,12,3,3.0309056600580107,0.11592228333324456,12,76.77765600936885,2.529454091455454,
shah,train,13,3,1.0350087203826963,0.14237090315777426,10,21.071733405533738,1.4516106022461306,
shah,train,14,3,1.6484275583398522,0.279213375122607,6,11.517414258683583,1.3854851291565458,
tsai,heldout,3,0,0.7312259142259606,0.08677092912676218,5,7.463744242894062,1.2217810149854238,
tsai,heldout,8,0,0.9361774615813448,0.17998336571236712,11,12.00640068188343,1.044744452524306,
tsai,heldout,15,0,1.4937135464402247,0.24135719286108231,12,22.000565271252995,1.3540237956812586,
tsai,train,0,0,2.4141695685488127,0.13997343071769092,16,400.5481990857714,5.003425071174816,
tsai,train,1,0,2.1223373853861114,0.28305804069707896,12,184.12697405677233,3.9171309021694727,
tsai,train,2,0,3.313805181692604,0.4038040827617369,14,333.5272669451765,4.880919607038181,
tsai,train,4,0,1.4065370368329486,0.06432282625632389,16,31.887115159460706,1.4117169324855086,
tsai,train,6,0,2.191598807232884,0.2713166642518553,9,50.33966947998775,2.365015139251233,
tsai,train,7,0,0.9954994379981185,0.13121118628706147,11,10.332200212855629,0.9691702267617495,
tsai,train,10,0,1.4173235511212365,0.14796737546245822,3,2.7634946438461365,0.959773348912151,
tsai,train,12,0,1.1464293204514702,0.28506265937800523,5,11.642423612244187,1.5259373258587121,
tsai,train,13,0,1.5037917557519445,0.19706463830304724,1,3.470008312384979,1.8627958321794096,
tsai,train,14,0,1.1967363114092517,0.1201248183419051,3,8.361359579927413,1.6694669388687529,
tsai,heldout,3,3,5.809318138247511,0.5332850387416128,8,35.79097334089081,2.1151528709791525,
tsai,heldout,8,3,0.8707808855702018,0.3363738719035207,4,10.70605829922725,1.6360056768870983,
tsai,heldout,15,3,3.8447425592975404,0.22094798556556272,8,50.18730637096837,2.5046782820096967,
tsai,train,0,3,2.168765099225331,0.16560762812574176,9,23.83339163993568,1.6273151589841226,
tsai,train,1,3,2.1186171522664465,0.24806281086601178,8,31.26997691143563,1.9770551620856343,
tsai,train,2,3,3.521613670238574,0.11690595537255348,4,13.368401688496224,1.8281412478591625,
tsai,train,4,3,2.024207105994334,0.2629437903089739,7,29.041364565661745,2.0368520728131205,
tsai,train,6,3,4.236927076534125,0.23663549311270918,7,45.5307236465779,2.550370383369496,
tsai,train,7,3,1.0265126220032896,0.08330809476872122,1,3.5239055065698204,1.8772068363847976,
tsai,train,10,3,1.541530950373061,0.23158735861878935,6,30.092121048793494,2.239498494782314,
tsai,train,12,3,2.3827577042601096,0.15307253841983548,12,82.60602472785801,2.6237064229803164,
tsai,train,13,3,0.9943103679501374,0.12438902264650098,10,21.595863613611392,1.4695531162095297,
tsai,train,14,3,1.5299036658746672,0.2615307641604706,6,11.625375419578168,1.3919635663082905,
park,heldout,3,0,0.6862531754759927,0.11935128597384277,5,8.61102758883374,1.3123282812493025,
park,heldout,8,0,1.1077783698746775,0.16661706249886124,11,17.884371448451855,1.2750889968387538,
park,heldout,15,0,1.3750120189153827,0.2078368303102228,12,17.54299787008847,1.2090973861414305,
park,train,0,0,2.212191485563982,0.13970477835080192,16,335.92062378916944,4.582034372069145,
park,train,1,0,2.1444746756890316,0.27162781556942694,12,191.51017676049372,3.9948944162152533,
park,train,2,0,3.326180239053493,0.42359801387164414,14,330.2816920142344,4.8571132815272255,
park,train,4,0,1.3490613235200275,0.04963244958085063,16,31.974780641233,1.4136561781695938,
park,train,6,0,2.2185980919593575,0.1819618166343857,9,54.336343340095084,2.4571063229402155,
park,train,7,0,1.0903071931745927,0.11536707924951906,11,16.8925098538341,1.2392266596490402,
park,train,10,0,1.5694842961812372,0.15701312628687272,3,4.380252600218842,1.2083394390952187,
park,train,12,0,1.139055409338118,0.3236170668293795,5,8.2157962410249,1.2818577332157342,
park,train,13,0,1.3637245077130786,0.16914715023617655,1,2.2569077555233537,1.5023008205826667,
park,train,14,0,1.1222948842059253,0.09533564960138365,3,7.510504957117192,1.5822457623177246,
park,heldout,3,3,5.9460190408246465,0.5195428202726743,8,54.7772547884194,2.616707253124129,
park,heldout,8,3,1.1616474791908007,0.34025152131453085,4,16.136771486930854,2.008530027590505,
park,heldout,15,3,3.950618544643916,0.2409484126699002,8,63.228078326809324,2.811318158951627,
park,train,0,3,2.357281735180465,0.2227379801069826,9,41.52441536015632,2.1479813613963827,
park,train,1,3,2.5373464308671374,0.2536235637675426,8,50.954107834236126,2.52373997853969,
park,train,2,3,3.882657198569695,0.10653327566725251,4,21.560251903148693,2.3216509160050682,
park,train,4,3,2.22230053404063,0.20536356055564464,7,43.45821247797971,2.491649266707258,
park,train,6,3,3.704524010360167,0.13287965784321282,7,39.358583330456085,2.371213773891702,
